
/hs🔛
🇨🇳央视频道,#genre#
CCTV-1综合,http://www.hkyc.site:1991/udp/239.253.64.120:5140
CCTV-2财经,http://www.hkyc.site:1991/udp/239.253.64.195:5140
CCTV-3综艺,http://www.hkyc.site:1991/udp/239.253.64.244:5140
CCTV-4中文国际,http://www.hkyc.site:1991/udp/239.253.64.196:5140
CCTV-5体育,http://www.hkyc.site:1991/udp/239.253.64.245:5140
CCTV-5+体育赛事,http://www.hkyc.site:1991/udp/239.253.64.100:5140
CCTV-6电影,http://www.hkyc.site:1991/udp/239.253.64.246:5140
CCTV-7国防军事,http://www.hkyc.site:1991/udp/239.253.64.54:5140
CCTV-8电视剧,http://www.hkyc.site:1991/udp/239.253.64.247:5140
CCTV-9纪录,http://www.hkyc.site:1991/udp/239.253.64.76:5140
CCTV-10科教,http://www.hkyc.site:1991/udp/239.253.64.87:5140
CCTV-11戏曲,http://www.hkyc.site:1991/udp/239.253.64.70:5140
CCTV-12社会与法,http://www.hkyc.site:1991/udp/239.253.64.97:5140
CCTV-13新闻,http://www.hkyc.site:1991/udp/239.253.64.59:5140
CCTV-14少儿,http://www.hkyc.site:1991/udp/239.253.64.115:5140
CCTV-15音乐,http://www.hkyc.site:1991/udp/239.253.64.72:5140
CCTV-16奥林匹克,http://www.hkyc.site:1991/udp/239.253.64.251:5140
CCTV-16奥林匹克,http://www.hkyc.site:1991/udp/239.253.64.126:5140
CCTV-17农业农村,http://www.hkyc.site:1991/udp/239.253.64.67:5140
CCTV-1综合,http://home.amucn.net:8800/rtp/239.49.8.19:9614
CCTV-2财经,http://home.amucn.net:8800/rtp/239.49.8.50:9802
CCTV-3综艺,http://home.amucn.net:8800/rtp/239.49.8.74:8000
CCTV-4中文国际,http://home.amucn.net:8800/rtp/239.49.8.51:9806
CCTV-5体育,http://home.amucn.net:8800/rtp/239.49.8.75:8000
CCTV-5+体育赛事,http://home.amucn.net:8800/rtp/239.49.8.18:9610
CCTV-6电影,http://home.amucn.net:8800/rtp/239.49.8.76:8000
CCTV-7国防军事,http://home.amucn.net:8800/rtp/239.49.0.126:8000
CCTV-8电视剧,http://home.amucn.net:8800/rtp/239.49.8.77:8000
CCTV-9纪录,http://home.amucn.net:8800/rtp/239.49.8.53:9814
CCTV-10科教,http://home.amucn.net:8800/rtp/239.49.8.54:9818
CCTV-11戏曲,http://home.amucn.net:8800/rtp/239.49.0.127:8000
CCTV-12社会与法,http://home.amucn.net:8800/rtp/239.49.8.55:9822
CCTV-13新闻,http://home.amucn.net:8800/rtp/239.49.8.109:8000
CCTV-14少儿,http://home.amucn.net:8800/rtp/239.49.8.56:9826
CCTV-15音乐,http://home.amucn.net:8800/rtp/239.49.0.128:8000
CCTV-16奥林匹克,http://home.amucn.net:8800/rtp/239.49.8.31:8000
CCTV-17农业农村,http://home.amucn.net:8800/rtp/239.49.8.52:9810
CCTV-1综合,http://www.hkyc.site:1991/udp/239.253.64.120:5140
CCTV-2财经,http://www.hkyc.site:1991/udp/239.253.64.195:5140
CCTV-3综艺,http://www.hkyc.site:1991/udp/239.253.64.244:5140
CCTV-4中文国际,http://www.hkyc.site:1991/udp/239.253.64.196:5140
CCTV-5体育,http://www.hkyc.site:1991/udp/239.253.64.245:5140
CCTV-5+体育赛事,http://www.hkyc.site:1991/udp/239.253.64.100:5140
CCTV-6电影,http://www.hkyc.site:1991/udp/239.253.64.246:5140
CCTV-7国防军事,http://www.hkyc.site:1991/udp/239.253.64.54:5140
CCTV-8电视剧,http://www.hkyc.site:1991/udp/239.253.64.247:5140
CCTV-9纪录,http://www.hkyc.site:1991/udp/239.253.64.76:5140
CCTV-10科教,http://www.hkyc.site:1991/udp/239.253.64.87:5140
CCTV-11戏曲,http://www.hkyc.site:1991/udp/239.253.64.70:5140
CCTV-12社会与法,http://www.hkyc.site:1991/udp/239.253.64.97:5140
CCTV-13新闻,http://www.hkyc.site:1991/udp/239.253.64.59:5140
CCTV-14少儿,http://www.hkyc.site:1991/udp/239.253.64.115:5140
CCTV-15音乐,http://www.hkyc.site:1991/udp/239.253.64.72:5140
CCTV-16奥林匹克,http://www.hkyc.site:1991/udp/239.253.64.251:5140
